strain	date	country	date_submitted	recency	lineage	region	host	clade_membership	author	accession	dinuc_context_fraction	GA_CT_fraction
9000396	2022-09-01	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536774	1.00	1.00
9000398	2022-09-01	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536776	1.00	1.00
9000399	2022-09-01	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536777		
9000400	2022-09-03	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536778	1.00	1.00
9000403	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536779		
9000405	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536781	1.00	1.00
9000406	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536782		
9000407	2022-09-30	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536783	1.00	1.00
9000408	2022-09-01	United Kingdom	2022-09-27	Older	B.1.2	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536784		
9000409	2022-09-01	United Kingdom	2022-09-27	Older	B.1.3	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536785		
9000422	2022-08-01	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536796		
9000424	2022-08-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536798		
9000429	2022-09-01	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536801	1.00	1.00
9000430	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536802	1.00	1.00
9000431	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536803	1.00	1.00
9000432	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536804	1.00	0.50
9000438	2022-09-01	United Kingdom	2022-09-27	Older	B.1.2	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536807		
9000445	2022-08-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536810	1.00	1.00
9000448	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536811	1.00	1.00
9000450	2022-09-01	United Kingdom	2022-09-27	Older	A.3	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536812		
9000451	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536813	1.00	1.00
9000452	2022-09-01	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536814		
9000453	2022-09-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536815		
MPXV_Nigeria_2017_2946	2017-10-02	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535336		
MPXV_Nigeria_2017_5205	2017-12-31	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535319	0.33	0.43
MPXV_Nigeria_2017_2915	2017-10-02	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535339		
MK783027	2017-11-09	Nigeria	2019-07-24	Older	A	Africa	Homo sapiens	IIb	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	MK783027		
MK783028	2017-11-09	Nigeria	2019-07-24	Older	A	Africa	Homo sapiens	IIb	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	MK783028		
MK783031	2017-11-09	Nigeria	2019-07-24	Older	A	Africa	Homo sapiens	IIb	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	MK783031	1.00	1.00
MK783029	2017-12-06	Nigeria	2019-07-24	Older	A	Africa	Homo sapiens	IIb	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	MK783029	1.00	0.50
MPXV_Nigeria_2018_5194	2018-01-31	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535317	0.60	0.25
MPXV_Nig_2017_298464	2017-12-05	Nigeria	2018-02-06	Older	A	Africa	Homo sapiens	IIb	Faye,O., Pratt,C.B., Faye,M., Fall,G., Chitty,J.A., Diagne,M.M., Wiley,M.R., Yinka-Ogunleye,A.F., Aruna,S., Etebu,E.N., Aworabhi,N., Ogoina,D., Numbere,W., Mba,N., Palacios,G., Sall,A.A., Ihekweazu,C., Diagne,M., Palacios,G.F., Sall,A.	MG693724	1.00	0.50
MPXV-M2957_Lagos	2018-01-01	Nigeria	2020-09-15	Older	A	Africa	Homo sapiens	IIb	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	MT903338	1.00	1.00
MPXV-M5312_HM12_Rivers	2018-08-01	Nigeria	2022-05-30	Older	A	Africa	Homo sapiens	IIb	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Senkevich,T.G., Yutin,N., Wolf,Y.I., Koonin,E.V., Moss,B.	NC_063383	1.00	1.00
MPXV_Nigeria_2018_5232	2018-01-20	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535332		
MPXV_Nigeria_2018_5300	2018-01-20	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535331		
MPXV_Nigeria_2018_5231	2018-01-31	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535333		
MPXV_Nigeria_2017_5227	2017-12-31	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535318	1.00	1.00
MPXV-M3021_Delta	2018-01-01	Nigeria	2020-09-15	Older	A	Africa	Homo sapiens	IIb	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	MT903339	1.00	1.00
MPXV_Nigeria_2017_2888	2017-10-29	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535340		
MPXV_Nigeria_2018_5315	2018-06-01	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535326	0.80	1.00
MPXV_Nigeria_2018_5222	2018-02-01	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535312		
MPXV_Nigeria_2018_5220	2018-01-31	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535314		0.20
MPXV_Nigeria_2018_5223	2018-02-01	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535334		
MPXV-M2940_FCT	2018-01-01	Nigeria	2020-09-15	Older	A	Africa	Homo sapiens	IIb	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	MT903337		
MPXV_Nigeria_2018_5302	2018-02-09	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535324		
MPXV_Nigeria_2018_5301	2018-02-09	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M., Howard,D., Sheth,M., Seabolt,M.H., Li,Y.	OP535330		
MPXV_Nigeria_2018_5219	2018-02-10	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535315	1.00	0.33
MPXV_Nigeria_2018_5218	2018-02-09	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535316		
MPXV_Nigeria_2017_2944	2017-10-12	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535338	0.75	0.80
MPXV_Nigeria_2017_2958	2017-10-03	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535322	1.00	1.00
MPXV_Nigeria_2017_2945	2017-10-04	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535337	1.00	1.00
MPXV_Nigeria_2017_2886	2017-10-03	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535341	1.00	1.00
MPXV_Nigeria_2017_2979	2017-10-31	Nigeria	2022-12-25	Older	A	Africa	Homo sapiens	IIb	Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H., Li,Y.	OP535321	1.00	1.00
MK783030	2017-11-30	Nigeria	2019-07-24	Older	A	Africa	Homo sapiens	IIb	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	MK783030	1.00	1.00
